,document_text
23,"['The West Bengal government on Saturday announced a compensation of Rs two lakh each for the next of kin of three people from the state who were killed in a road accident in Uttar Pradesh\'s Auraiya district while returning home, a top official said.\n\nAt least 24 migrant workers were killed and 36 injured when a trailer rammed into a stationary truck, both carrying passengers, on a highway near Auraiya in the early hours of Saturday.\n\n""There are confirmed reports that three people from Purulia district died in the road accident in UP. A compensation of Rs two lakh each will be sent to their immediate kin,"" the senior state government official told PTI.\n\n""We are also getting reports about the death of another person from the same district in the accident. We are trying to get a confirmation,"" he said.\n\nChief Minister Mamata Banejee has also expressed grief over the mishap.\n\n""Extremely saddened to hear of the tragic road accident in #Auraiya, Uttar Pradesh. My condolences to the families of the migrant brothers and sisters who have lost their lives. May their souls rest in peace. Praying for recovery of those injured,"" Banerjee said in a tweet.\n\nAlso Read UP govt declares corona a state disaster Pending salaries of ambulance service drivers in UP to be released soon Over 50 people booked for violating lockdown in Muzaffarnagar Muzaffarnagar: 80 more samples test negative for COVID-19 UP starts bringing back its native workers stuck up elsewhere: Official Pizzas (and haircuts) back on the menu, but with warnings Teenaged shooter comes forward to help pandemic victims Rising COVID-19 cases in Wayanad and Kasaragod causing concern Will accept post of chairman of BOA of SMC only if no TMC members in board: Bhattacharya MP: 2 killed as neighbours fight over man breaking quarantine\n\nThe Uttar Pradesh government, too, has decided to give Rs 2 lakh to the kin of each deceased.']"
24,"[""Breaking News\n\nFourteen members, including four children, of a marriage party were killed and 10 others injured due to a collision between a stone-laden truck and their three vehicles in West Bengal's Jalpaiguri district.\n\nThe accident occurred in Jaldhaka area in Dhupguri block on Tuesday night, they said.\n\nThe cars of the marriage party were going towards Dhupguri on the wrong side of the road and the collision took place due to dense fog, a senior police officer said.\n\nTen injured people are undergoing treatment in Jalpaiguri Super Speciality Hospital, he added.""]"
25,"['Banerjee said that the state government has earmarked Rs 44,000 crore for planned funds which had been Rs 36730 crore only last year. Express photo by Partha Paul.\n\nWest Bengal Chief Minister Mamata Banerjee on Monday said that deaths due to road accidents in the state has been reduced by 13 per cent in a year after the ‘Safe Drive Save Life’ programme was launched in July 2016. The West Bengal government had started the ‘Safe Drive Save Life’ drive to inculcate a sense of safe driving and responsible road behaviour among the people.\n\n“The Safe Drive Safe Life was running quite successfully. And one year’s record shows that accidental deaths in the state has been reduced by 13 per cent after the introduction of the Safe Drive and Save Life programme,” Banerjee said.\n\nThe number of accidents in the state was decreased by 16 per cent during the period and that of injured due to road accidents has also gone down by 12.4 per cent, she said at the state secretariat after an administrative meeting.\n\n“We are only second to Punjab which is a small state compared to West Bengal,” she said.\n\nReferring to a report submitted by transport secretary Alapan Bandyopadhyay at today’s meeting, Banerjee said, without elaborating, the Supreme Court has praised the state government’s initiative in traffic discipline.\n\nThe chief minister said the state government would initiate a traffic awareness programme this month and would continue it till February 15.\n\n“This is a time when accidents go up because of fog,” she said.\n\nAdvertisement\n\nMeanwhile, it was decided at today’s review meeting that e-governance would be made compulsory for every department from next month and departments not following the order will be blacklisted.\n\n“E-office has been made compulsory for every departments from January. This will will bring in transparency, credibility, accountability. We have already started e-service. If some departments are found not following the instructions (in using the e-office) in cases of issuing e-tender, they will be blacklisted,” she said.\n\nMeanwhile, the state government also took a decision to use 25 per cent of the fund left with departments after utilisation, and use them to develop rural roads and set up proper drinking water network in places like Purulia district where it has been a problem for long.\n\nAdvertisement\n\n“We have asked the DMs to inform the state government to let us know about the excess funds and out of that, 25 per cent will be utilised for this,” the chief minister said.\n\nShe expressed dissatisfaction over the delay in the piped water project in Purulia district by the Japan International Cooperation Agency (Jica) from which the state government had secured a loan of Rs 810 crore for the project.\n\n“It’s almost four years that the Jica is working for a water project in Purulia. But they have floated the tenders now. We have decided to give priority to these areas so that they get water for the time being,” Banerjee said.\n\nShe said that the state government has earmarked Rs 44,000 crore for planned funds which had been Rs 36730 crore only last year.\n\nBesides the planned fund, the state will also be spending Rs 12,000 crore for infrastructure development, the chief minister said.\n\nAdvertisement\n\nAn amount of Rs 13,714.32 crore was due from the Centre in various schemes such as the National Rural Employment Guarantee and the Swachh Bharat Mission.']"
26,"['At least five people, including a child, were killed on Friday after a car collided with a truck in West Bengal’s Nadia district.\n\nThe accident took place near the toll plaza over National Highway 34 at Nakashipara.\n\nAccording to witnesses, the car was heading towards Kolkata from Raiganj, while the truck was coming from the opposite direction.\n\nAll the victims were occupants of the car. Their identities are yet to be ascertained.\n\nThe witnesses said that due to the ongoing road repair works, vehicles were moving through a single-lane.\n\nLocal police claimed that accidents have become frequent in the area because of the single-lane vehicle movement just ahead of the toll-plaza.\n\n20221028-110005']"
27,"['IIT Kharagpur has recommended scientific and uniform nationwide speed management to reduce fatal road accidents.\n\nThe premier institute, in a policy document, recommended the constitution of state and district road safety councils comprising various departments, scientific fixing of speed limits and erection of road signage, engineering initiatives, audit of existing speed management measures, study of accidents, speed monitoring, strict implementation of guidelines and mass public awareness about road safety.\n\nIIT Kharagpur has recently submitted its recommendations to the West Bengal government and it has accepted the suggestions in principle but there is a need for nationwide and uniform implementation of them, Professor Bhargab Maitra of the institute\'s Civil Engineering Department, who led a team of professors in formulating the document, told PTI on Sunday.\n\n""We have made the recommendations based on road geometry, traffic characteristics and roadside environment. Although there are several Indian Roads Congress (IRC) guidelines which may be followed for better traffic management, the lack of a comprehensive and uniform speed management policy is an important concern in the Indian context,"" he said.\n\nThe document observed that a majority of the road stretches in the country, both in urban and rural areas, have mixed traffic, absence of lane discipline, uncontrolled access, roadside development and activities and a significant share of vulnerable road users.\n\nAlso, there is a need to curb speed limits near potentially risky areas such as shopping zones, schools and hospitals.\n\nAlso Read 16 killed as bus falls into gorge in Kullu; PM Modi announces ex-gratia India worst in world in terms road accident deaths: Govt tells Parliament Jharkhand ropeway accident: 2 dead, 15 trapped mid-air as rescue ops halt IIT-KGP, Virginia Tech launch online course in artificial intelligence Govt will implement Rs 7,500-crore scheme to tackle road accidents: Gadkari Ashoke Kumar Chakraborty named additional solicitor general for Calcutta HC MCD implements uniform rate for licence fee for new factory, renewal Education minister reiterates need for world class educational institutes Kathua DM says cyber criminal using his fake WhatsApp account for fraud Kaali: Case registered in Haridwar against Leena Manimekalai, 10 others\n\nOnly a few stretches have wide paved shoulders, median barriers, sufficient clear zones, access roads, good alignment and intersection treatments, which are important engineering aspects to ensure road safety.\n\nHence, implementation of IIT Kharagpur\'s recommendations will be beneficial with the ongoing massive road development across the country, he said.\n\nMaitra, quoting statistics of the Ministry of Road Transport and Highways (MoRTH), said that speeding caused more than 72 per cent of road accidents and 69 per cent of road accident fatalities in 2020.\n\n""Road accidents are a leading cause of death and injuries in India, which tops the world in the number of fatalities due to such mishaps,"" he said.\n\nHe said 4.5 lakh road accidents took place in 2019, resulting in more than 1.51 lakh deaths.\n\nDespite COVID-induced restrictions on road travel, accident severity value (persons killed per 100 accidents) was 36 in 2020, up from 33.7 in 2019.\n\n""Besides creating enormous social causes for families, road traffic injuries put a heavy burden on health services and the national economy,"" he said.\n\nIn 2021, MoRTH proposed reduction of road accidents and fatalities by 50 per cent by 2024. Speed management may provide scope of bringing down the severity of road accidents, he said.\n\n""Keeping in mind the reality of traffic on Indian roads, it is essential to revisit and set appropriate speed limits to enhance road safety,"" he added.']"
28,"['As of August 26th, 2021 Yahoo India will no longer be publishing content. Your Yahoo Account Mail and Search experiences will not be affected in any way and will operate as usual. We thank you for your support and readership. For more information on Yahoo India, please visit the FAQ']"
29,"['Seven people, including three minors, died in separate road accidents on Friday and Saturday. Four members of a family were killed after a track rammed into their vehicle on NH-2 late on Friday night at Kajora area near Andal. Five persons in the vehicle were on their way home in Durgapur after attending a marriage ceremony from Ghantiphar in Bankura district. “The deceased has been identified as Milon Mukherjee, his wife Konika, mother Bhakti and son Soumen, who is a school student,” said a police official. All of them were declared brought dead at the hospital, police sources said. Jiban Mukherjee, Milon’s father, who was driving the car, is under treatment, they added.\n\nThe vehicle was first hit by a truck from behind, following which the vehicle rammed into a trailer. The car was damaged completely. In another incident, a 22-year-old truck driver was killed after the vehicle fell off a bridge due to over-speeding at Singur Bora area on Durgapur Expressway on Saturday. According to police sources, the deceased has been identified as Sheikh Saiddul. “Due to over-speeding, the truck hit a roadside railing and then fell off the flyover. The driver died while the helper has received serious injuries,” said a police official. Sources said the truck, which was on its way to Kolkata, was driving at a high speed when suddenly its front tyre burst and the driver lost control.\n\nIn a third incident, a six-year-old girl was killed when she was run over by a private bus on MG Road in Kolkata on Saturday morning. The driver of the bus has been arrested. Tithi Gupta was riding pillion with her mother and 12-year-old elder sister when the motorcycle, driven by her father, fell after colliding with a bicycle around 9.30 am, police sources said. Tithi, who was not wearing a helmet, was then run over by a bus. “Tithi Gupta was declared brought dead by the hospital. The driver of the private bus, Haider Ali (47), a resident of Tikka para in Howrah, has been arrested. He has been booked under sections 279 (rash driving) and 304A (causing death by negligence) of the IPC,” a police official said.\n\nIn a separate incident, an eight-year-old girl, Tuhina Roy, was killed on Friday when she was hit by a speeding oil tanker on Taratala Road, police sources said. The tanker driver has been arrested and the vehicle seized. The accident took place in front of CESC office when the girl, a resident of SP Banerjee Road, was on her way home from Parnoshree area. “She was on a motorcycle with her uncle and two other pillion-riders. The bike suddenly fell into a pit and a speeding oil tanker hit the minor girl,” said a police official. The girl was rushed to SSKM hospital where she was declared brought dead. Her uncle and two others sustained injuries and were discharged from the hospital after primary medication, police said.']"
30,"['At least one person was killed and as many as 40 were inured in a road accident in Bengal. The accident took place when a bus carrying passengers, overturned on the road. The bus was heading to West Bengal’s Burdwan, when the mishap took place. The fateful accident took place on Sunday evening.\n\nThe injured passengers were immediately carried to the nearby Katwa Subdivisional hospital are are currently undergoing treatment.\n\nThe Bengal bus accident was caught on the CCTV camera that was located nearby. The CCTV footage shows that passengers were seated on the top of the bus as well. As per the captured visuals, the bus lost control midway which caused the overturning. It is also to be noted that the bus was moving at a rather high speed.\n\nThe condition of the injured people is said to be critical. The identity of the man who dies in the Bengal bus accident is yet to be identified. Reportedly, the driver and the conductor of the bus managed to escape.\n\nA passenger who managed to escape from the bus said that the vehicle was moving when it suddenly slipped off and overturned on the road. Luckily, he was able to move out of the bus in time and even tried to lend a helping hand to the ones who were stuck in the bus.']"
31,"['Tamluk (WB), Mar 4 (PTI) Three persons, including a woman, died in a head-on collision between a dumper truck and a pick-up van on Friday on national highway 116-B at Marishda in Purba Medinipur district, a senior police officer said.\n\nLocal people staged a road blockade and set a police vehicle on fire alleging lack of proper vigil on rash driving.\n\nWhile one person died on the spot, the other two succumbed to their injuries at Kanthi hospital, the officer said.\n\nThe truck was on its way towards Nandakumar from Digha and the pick-up van was travelling in the opposite direction when the accident occurred near Marishda police station, he said.\n\nTwo police personnel were injured while trying to remove the road blockade, the officer added. PTI COR AMR RG RG']"
32,"['West Bengal: 18 klled in road accident in Nadia\n\nAs per officials of the Hanskhali police station, people in a matador car were on its way to the Nabadeep crematorium to cremate a body from Bagda of North 24 Parganas on Saturday night.\n\nBy ANI Updated On - 10:45 AM, Sun - 28 November 21\n\nRepresentational Image\n\nNadia: At least 18 people were killed and 5 others injured in a road accident that took place in West Bengal’s Phulbari area of Nadia district late on Saturday night, police said.\n\nAs per officials of the Hanskhali police station, people in a matador car were on its way to the Nabadeep crematorium to cremate a body from Bagda of North 24 Parganas on Saturday night.\n\nThe matador was hit by a lorry loaded with stones which was parked on the side of the road and suddenly started at Phulbari area of Hanskhali police station area of Nadia. At least 18 people died on spot.\n\nThe injured people have been shifted to Shaktinagar district hospital.\n\nLocals claimed that the accident was due to the dense fog and the high speed of vehicle.\n\nFurther investigation is on.']"
33,"['Pedestrians continue to bear the brunt of rash driving in the country as nearly 73,000 pedestrians lost their lives in the country in road accidents in the last four years. What is more worrisome that despite the government’s efforts, the number has seen a steady rise in the last four years, rising from nearly 14,000 deaths in 2015 to over 22,500 deaths in 2018, according to the latest data given by transport minister Nitin Gadkari in Parliament.\n\nAccording to the information given by the government in the Rajya Sabha, 13,894 pedestrians lost their lives in road accidents in 2015, the next year the number rose to 15,746 in 2016, an increase of over 13%. Similarly, the number of pedestrians killed in road accidents increased from 15,746 in 2016 to 20,457 next year, a sharp increase of 30%.\n\nSeven states – West Bengal, Maharashtra, Andhra Pradesh, Karnataka, Madhya Pradesh, Rajasthan and Uttar Pradesh – alone account for more than half of the total deaths.\n\nALSO READ: More than 2,000 people killed in road accidents caused by potholes; 3 states account for maximum deaths\n\nAnd the worrisome trend continued last year as well despite several measures taken by the government to improve the situation. The measures taken by the government included the construction of footpaths, foot over bridges and other pedestrian facilities including grade-separated structures. However, these measures failed to have the desired impact in reducing the number of deaths of pedestrians in road accidents.\n\nIn 2018, the number of pedestrians killed in road accidents increased to 22,656, an increase of 11% in comparison with the number of such deaths in 2017.\n\nSeven states, West Bengal (2618), Maharashtra (2515), Andhra Pradesh (1569), Karnataka (1519), Madhya Pradesh (1504), Rajasthan (1448) and Uttar Pradesh (1366) alone account for more than half the deaths. 12,539 pedestrians were killed last year in these 7 states alone which is more than 55% of total deaths of pedestrians in the country in road accidents in 2018.\n\nThese seven states are followed by three other states that all have reported more than 1,000 deaths of pedestrians in road accidents last year. 1,250 pedestrians lost their lives in road accidents in Kerala, followed by Gujarat (1,170) and Telangana (1,093) deaths.\n\nIn national capital Delhi, 420 pedestrians were killed in road accidents last year.']"
34,"['\n\n\n\nThe number for road accidents in Jaipur and injures caused by them is on rise by every passing year. People are caught in the clutches of severe road accidents merely because of carelessness, non-abiding nature for the laid down traffic rules and other several like reasons.\n\nReason Behind Most Road Accidents\n\nThe major reason that has been found out for road accidents is that most of the people do not put on a helmet as a safety measure or put a helmet of low quality.\n\nIn such cases, the law for implementing the use of a helmet and emphasizing its usefulness and the mandatory need for putting it on is being observed.\n\nAn Initiative by the West Bengal Government for Public Welfare\n\nThe government of West Bengal has taken up a wise step towards bringing down this increasing number of road accidents of two wheelers and has come out with a fine rule.\n\nThe Rule States:\n\nThe rule states that it is a mandate to check if the rider of a two wheeler is wearing a helmet or not. This check will be done by the officials of the petrol pumps. Petrol will only be provided to the riders of the two wheelers who are wearing a helmet.\n\nBusiness is our purpose, such rules cannot be followed:\n\nAn official named Mr. Sunit Bagai of the Rajasthan Petroleum Dealer Association has been recently heard quoting that petrol pumps are business establishments.\n\nSuch business establishments cannot revolve around laws like the one that has been applied by the West Bengal government.\n\nIn addition to this, Mr. Sunit Bagai was also heard adding that petrol pumps cannot be forced to follow this rule in lending of petrol to its customers.\n\nWays that have been thought of to trim down the rising accidental cases of two wheelers on the road are:\n\nSuggestion I:\n\nThe first measure is to implement the rule that has been implemented by the government of West Bengal.\n\nThe rule simply states that petrol must only be given to the rider of a two wheeler vehicle when he is wearing a helmet. In any case otherwise, provision of petrol must not be made to the rider.\n\nIf there is a pillion rider too on the two wheeler vehicle, then the pillion rider must also be wearing a helmet in addition to the main rider.\n\nPetrol under no circumstance should be provided by the staff of the petrol pump to a person who is not outfitted in a helmet.\n\nSuggestion II:\n\nWhen the traffic police generate and charge a challan for an individual while he is caught red handed in driving without a helmet, in greater part of such cases, the person who has been charged of such challan rides his vehicle throughout the day without a helmet.\n\nIt may be brought to the notice that a person cannot be charged twice in a single day by the traffic police on account of challan. Once a person has been charged of a challan, he cannot be charged again.\n\nIn light of the above rule, once a person has been charged, the person is free and yet rides without a helmet all day long.\n\nTo curb such practices, it has been suggested that the traffic police not only charge the individual of a challan, but also provide the defaulter with a helmet after charging them with the challan\n\nA brief summary of the accidents followed by the injury or death caused to an individual; is stated for a period of three recent years:\n\nYear Accident Death Injured 2013 2908 783 2634 2014 3085 844 2793 2015 3000 850 2700\n\nData pertaining to the different petrol pumps and the number of their establishments in Jaipur:\n\nPetrol Pump Numbers of it established in the city of Jaipur IOCL - Indian Oil Corporation 42 HPCL - Hindustan Petroleum Corporation Limited 45 BPCL - Bharat Petroleum Corporation Limited 33 Reliance Petroleum 02\n\nConditions prevailing in the state: An insight into state traffic and petrol data']"
35,"['Steven Berveling knows first-hand the damage a vehicle passing too close to a cyclist can do.\n\nHe was blown off his bike when a road train passed him as he rode in a 1200km cycling event near Katanning in October.\n\nHe broke his left femur, collarbone and ribs and had a brain haemorrhage.\n\nKnocked unconscious when he hit the Great Southern roadside, he cannot remember much from that day and relies on the accounts of fellow riders.\n\nBut the aftermath is clear. Five months later, Mr Berveling\'s injuries are still healing.\n\nThe president of Sydney Cycling Club, Mr Berveling used to ride about 20,000km a year on the road and said the vast majority of motorists were terrific and courteous to cyclists.\n\n""But there\'s a small minority who seem unaware of the danger they pose to cyclists,"" he said.\n\n""With a lot of vehicles on the road, the one per cent who cause concern actually represent a significant number of vehicles.\n\n""The danger happens when they are too close, and we need to acknowledge that all vehicles share the road and no one particular type of vehicle has priority or a greater right to use the road.\n\n""I\'m very conscious that I need to be super alert while I ride my bike because the cars are bigger than me and I take a defensive attitude to riding my bike.""\n\nMr Berveling was in WA for a 1200km Perth-Albany-Perth ride with Audax Australia Cycling Club when injured while training for a 5000km, 24/7 race in the US.\n\nBefore his crash, the third of the WA ride, he was feeling ""120 per cent"".\n\nHe spent almost a month in hospitals in Perth and Sydney.\n\nHolding the cracked helmet he kept as a reminder of what happened, he said the left side had a 5mm indent about the size of his palm.\n\nBut he strongly believes it prevented a more severe injury and said he was shocked that 25 bike riders treated in WA\'s State trauma unit last year were not wearing helmets.\n\nMr Berveling said his brain injury led to him not recognising some people he had known for years and a loss of motivation.\n\nStory continues\n\nBut of most concern for the self-employed barrister is a difficulty remembering certain words.\n\nMr Berveling believes proposed laws requiring one-metre separation from cyclists would help improve safety, as would additional infrastructure.\n\n""But the primary concern is the need for increased awareness and sharing the roads,"" he said.']"
36,"[""Seven policemen were killed after the vehicle they were travelling in collided with a truck in West Bengal's Jalpaiguri district on Sunday, police said.Another policeman in the vehicle is battling for his life in hospital following the accident occurred at Brahmapur near Mynaguri town, about 635 km from Kolkata.All the police personnel were from Cooch Behar district and they were going to Malda district on panchayat election duty, a police officer said.The police said they would probe what caused the accident, but eye-witnesses said both the vehicles that crashed into each other were moving at high speed.The truck driver fled after the incident.""]"
37,"[""Five people were killed in two road accidents in West Bengal's Purba Bardhaman district on Saturday, police said.\n\nA motor van collided with a truck in Mirchoba area in Burdwan town, killing three people, they said.\n\nThe deceased were identified as Sk Jay Nal, Sk Bapi and Sk Kiran, all of whom were residents of Baro Dighi in Galsi police station area.\n\nThe victims were going to work when the accident happened, police said.\n\nA woman and her son were killed as a truck hit their motorcycle on the Sadarghat bridge. The deceased were identified as Bagli Kisku, 40, and her son Ashim Kisku, 23.\n\nThey were on the way to Burdwan town when the accident happened, police said.""]"
38,"[""© Provided by Times Now road accident in odisha's jajpur leaves 7 from west bengal dead\n\nBhubaneswar: At least seven people were killed when the mini-truck they were travelling in collided with a stationary truck in Odisha's Jajpur district on Saturday, police said. All the victims were native to West Bengal.\n\nJajpur Superintendent of Police (SP) Vinit Agrawal told PTI that six people died on the spot, while one succumbed en route to SCB Medical College and hospital.\n\nMore details will follow.""]"
39,"[""Schools, colleges and universities in the state, except the two hill districts of Darjeeling and Kalimpong, were closed for a week till April 23 due to the prevailing weather condition.\n\nAmong the demands are increase in dearness allowance, non-implementation of NEP 2020, recruitment of eligible teaching job aspirants and arrest of all those accused in the school jobs scam.\n\nWest Bengal: Opposition leader Suvendhu Adhikari had also claimed that Mamata Banerjee had requested Home Minister Amit Shah and sought his intervention for restoration of national party status to TMC.\n\nWest Bengal Singes In Heatwave, No Relief In Sight Kolkata recorded the day's minimum temperature at 29.3 degrees Celsius, which was three notches above normal, the weather office said.\n\nHeatwave Alert Issued Across Various States, Schools Shut In West Bengal, Tripura The IMD said that the maximum temperature in North, Northeast and Northwest India would be higher by three to four degrees than the normal temperature while Northwest India and adjoining Madhya Pradesh and East India will...""]"
40,"['Accident took place at traffic signal at Haldia More on NH41\n\nThe accident took place at a traffic signal at Haldia More on NH41.\n\nThree persons were killed in a road accident in East Midnapore\'s Kolaghat on Wednesday morning.\n\nEyewitnesses said as the signal had turned green around 11am, a motorcyclist with a woman and an infant as pillion riders tried to take a sharp right turn cutting across the path of a government bus.\n\nAs the motorcycle got stuck in loose soil, the biker lost control of the vehicle and fell in the path of the moving bus.\n\n""The bus and the bike accelerated as soon as the signal turned green. Although, as the bike swerved, it fell and the three were run over,"" said an eyewitness. He added that the biker along with the woman and infant had died instantly.\n\nThe deceased were Sudeep Kalsa, 27, his wife Mamata, 23 and their daughter Payal. They were residents of Hogalbari village in Tamluk police station.\n\nSudeep was returning home with his wife and daughter from his father-in-law\'s house at Balichak in West Midnapore.\n\nEyewitness Ramhari Jana said Sudeep was waiting at the signal near Haldia More in Kolaghat.\n\nSudeep had left the metal road and as the signal turned green he tried to get back on it. In the process, the motorbike\'s rear wheel got stuck on the loose soil as he tried to get back on the metal road fast.\n\n""The front wheel of the bike got stuck in the soil when it tried to turn right fast. The bike lost control and fell on the road. At that very instant, a passenger bus came from behind and crushed the three,"" he said.\n\nTamluk divisional police officer Saquib Ahmed said the bodies had been sent to Tamralipta district hospital for post-mortem.']"
41,"[""Follow us on Image Source : PTI/FILE West Bengal: State-run bus rams into a car near Ishwaripur in Howrah district\n\nWest Bengal road accident: In a tragic incident, three people were killed and nine others injured in a collision between a state-run bus and a car in West Bengal's Howrah district on Tuesday morning. According to police, the accident occurred on National Highway 16 in Ishwaripur in the Bagnan police station area.\n\nAs many as nine passengers of the bus were injured, and of them, five people were admitted to the Bagnan hospital while the rest were discharged after first aid.\n\nThe intensity of the collision caused the car's front end, including its bonnet, to crumple into a heap of metal, they said, adding that parts of the car had to be sliced up with a gas-cutter to take the bodies out. The police further said that the identities of the deceased were not known yet.\n\nThe bus was heading towards Kolkata, while the car was going towards Digha in Purba Medinipur when the accident happened, they added.\n\n(With inputs from PTI)\n\nALSO READ: West Bengal: 1 dead, 24 injured after bus collides with truck at highway near Madarihat""]"
42,"['Burdwan (WB), Apr 8 (PTI) Five people were killed in two road accidents in West Bengal’s Purba Bardhaman district on Saturday, police said.\n\nA motor van collided with a truck in Mirchoba area in Burdwan town, killing three people, they said.\n\nThe deceased were identified as Sk Jay Nal, Sk Bapi and Sk Kiran, all of whom were residents of Baro Dighi in Galsi police station area.\n\nThe victims were going to work when the accident happened, police said.\n\nA woman and her son were killed as a truck hit their motorcycle on the Sadarghat bridge. The deceased were identified as Bagli Kisku, 40, and her son Ashim Kisku, 23.\n\nThey were on the way to Burdwan town when the accident happened, police said. PTI CORR SOM SOM\n\nThis report is auto-generated from PTI news service. ThePrint holds no responsibility for its content.']"
43,"['© Provided by The Indian Express capsicum prices Farmers in Punjab’s Mansa district dumped capsicum on the roads on Wednesday (Express)\n\nFarmers in Punjab’s Mansa district dumped capsicum on the roads on Wednesday after they found themselves at the receiving end of crashing prices, allegedly being offered Re 1 per kg for their produce.\n\n“After the appeal by Punjab Chief Minister Bhagwant Mann, many new farmers grew capsicum on one part of their land. But we are shocked at the rates being offered to us,” said Gora Singh Bhainibagha, a farmer who grows capsicum on 5 acres of land in Mansa’s Bhainibagha village, referring to Mann’s plea to farmers to opt for crop diversification.\n\n© Provided by The Indian Express capsicum prices Authorities said that they have been imparting training to farmers to store the produce in cold stores and sell it when the prices are appropriate. (Express)\n\n“This time, just at the beginning of the season, rates have crashed. We pack one polybag of about 15-17 kg which traders pick from us. This time, we are only being offered Rs 15 for a bag. For a 17 kg bag, the rate is less than a rupee for 1 kg of capsicum,” Bhainibagha, who is with the Punjab Kisan Union, said.\n\nIn Punjab, vegetables are cultivated on more than 3 lakh hectares of land. Of these, capsicum is mainly grown in the Mansa, Ferozepur and Sangrur districts on an area of around 1,500 hectares – 500 hectares in Sangrur, 250 hectares in Mansa, around 100 hectares in Ferozepur and the rest in various districts, the horticulture department said.\n\nThis year, Punjab is witnessing a glut in capsicum. The extended cold weather has meant that the production of capsicum was more in all the states this year, the horticulture department said. Earlier, the crop from Maharashtra and Madhya Pradesh used to come in the January-February period, followed by Punjab’s produce by March end or beginning of April. “This time, the variety from all states has come together…due to which Punjab farmers are facing a glut of capsicum. Climate change seems to be the reason for this glut as in the past, the Maharashtra and Madhya Pradesh crop used to arrive early,” Punjab Horticulture Director Shailender Kaur explained to The Indian Express.\n\nMeanwhile |Punjab: 4 including 2 from Rajasthan held with Rs 15.05 lakh in fake currency\n\nBhainibagha said farmers faced a similar problem during the first Covid-19 lockdown in 2020. “Marriage functions were limited, social gatherings had reduced and even hotels and restaurants remained closed for a large part of the year. But even then, we had got reasonable rates of Rs 10-15 a kg for our early crop in April. By May, rates had reduced to just Rs 3 per kg,” he added.\n\nThe following years, 2021 and 2022, were good for the crop with farmers even getting up to Rs 20 a kg for a few varieties.\n\nJaspal Singh, a farmer who grows capsicum on 8 acres of land, said Mansa is one of the main markets for capsicum in the state. “Traders from West Bengal or Kashmir come directly to our farms to pick the produce. Some produce is sold in Azadpur Mandi in Delhi and in the local market. But the outside customer is missing, so we are facing a glut this time,” he added.\n\nAuthorities said that they have been imparting training to farmers to store the produce in cold stores and sell it when the prices are appropriate.\n\nHowever, Sukhdev Singh from Mansa’s Kotli Kalan village is regretting his decision to grow capsicum on 3 acres of his land. Though the Punjab government had opened a chilli cluster in Ferozepur district, there is no plan yet to bail out farmers. “This is the reason that farmers don’t want to come out of the wheat-paddy cycle,” Bhainibagha added.\n\nReeling under losses, farmers, who spend around Rs 1 lakh an acre on capsicum, are now seeking help from the Punjab government so that they can go to Kolkata to sell their produce. However, the government is yet to comment on the matter.']"
44,"['Analiza Pathak | January 30, 2023 7:23 AM IST\n\nAccording to one of the injured, it was a head-on collision after the driver of their car tried to']"
45,"['Analiza Pathak | January 30, 2023 7:23 AM IST\n\nAccording to one of the injured, it was a head-on collision after the driver of their car tried to']"
